sid,search,"splunk_server","_time","is_realtime",provenance,"api_index_et","api_index_lt","event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_index_et","__mv_api_index_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search2_1677941673.254","search sourcetype=""forescout:OTSM:logs:useractivity"" action=""Failed login""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""User IP"" user as ""Username"" otherInfo as ""Reason""
| table Date Time ""CC"" ""User IP"" Username Reason
| sort -time","rhel.hwf.sc4s","1677941673.922396",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941673,0,search2,0,completed,"0.374","1675314000.000000000","1677941673.000000000","1675314000.000000000","1677941673.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search3_1677941673.255","search sourcetype=""forescout:OTSM:logs:health"" AND monitoredVariable=""sensor connection""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time device as Sensor host as ""CC"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as ""Value""
| table Date Time CC Sensor ""Current Status"" ""Previous Status"" ""Value""
| sort -time","rhel.hwf.sc4s","1677941673.924714",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941674,0,search3,0,completed,"0.463","1675314000.000000000","1677941673.000000000","1675314000.000000000","1677941673.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search4_1677941673.256","search sourcetype=""forescout:OTSM:logs:useractivity""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""Client IP"" user as User resource as Resource action as Action otherInfo as Details
| table Date Time ""CC"" ""Client IP"" User Resource Action Details
| sort -time","rhel.hwf.sc4s","1677941673.931480",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941674,0,search4,0,completed,"0.426","1675314000.000000000","1677941673.000000000","1675314000.000000000","1677941673.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search5_1677941673.257","search sourcetype=""forescout:OTSM:logs:health""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as CC device as Sensor monitoredVariable as ""Health Area"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as Value
| table Date Time CC Sensor ""Health Area"" ""Current Status"" ""Previous Status"" Value
| sort -time","rhel.hwf.sc4s","1677941673.938614",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941674,0,search5,0,completed,"0.457","1675314000.000000000","1677941673.000000000","1675314000.000000000","1677941673.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search1_1677941687.258","search sourcetype=""forescout:OTSM:logs:alert"" | dedup host","rhel.hwf.sc4s","1677941687.465217",0,"UI:Dashboard:dashboard_security",0,0,0,1677941687,0,search1,0,completed,"0.223",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search2_1677941688.259","search sourcetype=""forescout:OTSM:logs:alert""
| search host=""*""
| stats count by sensorName","rhel.hwf.sc4s","1677941688.617724",0,"UI:Dashboard:dashboard_security",0,0,0,1677941689,0,search2,0,completed,"1.057","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search3_1677941688.260","search sourcetype=""forescout:OTSM:logs:alert"" l7Proto !=""""
| search host=""*""
|chart count by l7Proto","rhel.hwf.sc4s","1677941688.620073",0,"UI:Dashboard:dashboard_security",0,0,0,1677941688,0,search3,0,completed,"0.9500000000000001","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search4_1677941688.261","search index=""main"" sourcetype=""forescout:OTSM:logs:alert"" engineName=""Threat library"" 
| search host=""*""
| stats count(eval(match(typeId, ""^itl_sec""))) AS ""ITL Security Alerts"", count(eval(match(typeId, ""^itl_net""))) AS ""ITL Networking Alerts"", count(eval(match(typeId, ""^itl_ops""))) AS ""ITL Operations Alerts"" | transpose","rhel.hwf.sc4s","1677941688.622676",0,"UI:Dashboard:dashboard_security",0,0,0,1677941689,3,search4,0,completed,"0.864","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search5_1677941688.263","search sourcetype=""forescout:OTSM:logs:alert""
| search host=""*""
| chart sparkline count by severity
| rename severity as Severity sparkline as Sparkline count as Count
| eval sort_field = case(Severity == ""Critical"", 1, Severity == ""High"", 2, Severity == ""Medium"", 3, Severity == ""Low"", 4, Severity == ""Informational"", 5)
| sort sort_field
| fields Severity Count Sparkline","rhel.hwf.sc4s","1677941688.626627",0,"UI:Dashboard:dashboard_security",0,0,0,1677941688,0,search5,0,completed,"0.712","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search7_1677941688.264","search sourcetype=""forescout:OTSM:logs:alert""
| search host=""*""
| dedup sensorName severity name srcIp dstIp dstPort l7Proto
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| iplocation dstIp prefix=dstIp_
| iplocation srcIp prefix=srcIp_
| rename date_long as Date time_short as Time alertId as ""Alert ID"" severity as Severity host as CC name as Description srcIp as ""Source IP"" srcIp_Country as ""Source Country"" dstIp as ""Destination IP"" dstIp_Country as ""Destination Country"" dstPort as ""Destination Port"" l7Proto as Protocol sensorName as ""Sensor""
| table Date Time CC Sensor ""Alert ID"" Severity Description ""Source IP"" ""Source Country"" ""Destination IP"" ""Destination Country"" ""Destination Port"" Protocol
| sort -time","rhel.hwf.sc4s","1677941688.636136",0,"UI:Dashboard:dashboard_security",0,0,0,1677941689,0,search7,0,completed,"0.491","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search9_1677941688.265","search sourcetype=""forescout:OTSM:logs:alert"" srcIp!=""""
| search host=""*""
| fields srcIp dstIp name
| eval IPAddress = srcIp + "";"" + dstIp
| makemv delim="";"" IPAddress
| mvexpand IPAddress
| chart count by IPAddress, name","rhel.hwf.sc4s","1677941688.658386",0,"UI:Dashboard:dashboard_security",0,0,0,1677941689,0,search9,0,completed,"1.127","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search10_1677941688.266","search sourcetype=""forescout:OTSM:logs:alert"" NOT l7Proto=""""
| search host=""*""
| chart count by sensorName l7Proto
| rename sensorName as SensorName l7Proto as Protocol","rhel.hwf.sc4s","1677941688.666012",0,"UI:Dashboard:dashboard_security",0,0,0,1677941688,0,search10,0,completed,"1.143","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search8_1677941688.267","search sourcetype=""forescout:OTSM:logs:alert"" srcIp!=""""
| search host=""*""
| fields srcIp name
| rename srcIp as ""Source IP""
| chart count by ""Source IP"", name
| head 15","rhel.hwf.sc4s","1677941688.678576",0,"UI:Dashboard:dashboard_security",0,0,0,1677941690,0,search8,0,completed,"0.484","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search12_1677941688.268","search sourcetype=""forescout:OTSM:logs:network""
| search host=""*""
| search typeId=log_name_query
| rename dstIp as ""Destination IP"" srcIp as ""Source IP"" path as ""DNS Query""
| chart count by ""DNS Query""
| sort 20 - count","rhel.hwf.sc4s","1677941688.683724",0,"UI:Dashboard:dashboard_security",0,0,0,1677941689,0,search12,0,completed,"0.452","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search13_1677941688.269","search sourcetype=""forescout:OTSM:logs:network""
| search host=""*""
| search typeId=log_name_query
| rename dstIp as ""Destination IP"" srcIp as ""Source IP"" path as ""DNS Query""
| chart count by ""DNS Query""
| sort 10 count","rhel.hwf.sc4s","1677941688.684620",0,"UI:Dashboard:dashboard_security",0,0,0,1677941690,0,search13,0,completed,"0.404","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search14_1677941688.270","search sourcetype=""forescout:OTSM:logs:network""
| search host=""*""
| search typeId=log_name_resolved 
| eval ""Query and Response"" = path."" --> "".valStr 
| chart count by ""Query and Response""
| sort 10 - count","rhel.hwf.sc4s","1677941688.694514",0,"UI:Dashboard:dashboard_security",0,0,0,1677941690,0,search14,0,completed,"0.45","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search16_1677941688.271","search sourcetype=""forescout:OTSM:logs:network""
| search host=""*""
| search typeId=log_auth_success
| eval full_count= user + "":"" + l7Proto
| timechart count(user) by full_count","rhel.hwf.sc4s","1677941688.699153",0,"UI:Dashboard:dashboard_security",0,0,0,1677941690,0,search16,0,completed,"0.558","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search15_1677941688.272","search sourcetype=""forescout:OTSM:logs:network""
| search host=""*""
| search typeId=log_name_resolved 
| eval ""Query and Response"" = path."" --> "".valStr 
| chart count by ""Query and Response""
| sort 10 count","rhel.hwf.sc4s","1677941688.705443",0,"UI:Dashboard:dashboard_security",0,0,0,1677941689,0,search15,0,completed,"0.297","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search17_1677941688.273","search sourcetype=""forescout:OTSM:logs:network""
| search host=""*""
| search typeId=log_auth_fail
| eval full_count= user + "":"" + l7Proto
| iplocation dstIp prefix=dstIp_
| iplocation srcIp prefix=srcIp_
| rename srcIp as ""Source IP"" srcIp_Country as ""Source Country"" dstIp as ""Destination IP"" dstIp_Country as ""Destination Country"" user as User error as ""Authentication Error"" l7Proto as Protocol time as Time
| table Time Protocol User ""Authentication Error"" ""Source IP"" ""Source Country"" ""Destination IP"" ""Destination Country""","rhel.hwf.sc4s","1677941688.711059",0,"UI:Dashboard:dashboard_security",0,0,0,1677941689,0,search17,0,completed,"0.41200000000000003","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search19_1677941688.275","search sourcetype=""forescout:OTSM:logs:network""
| search host=""*""
| search typeId=log_ssl_certificate
| iplocation dstIp prefix=dstIp_
| iplocation srcIp prefix=srcIp_
| rename cust1 as ""Cipher Suite"" cust2 as Validity srcIp as ""Source IP"" srcIp_Country as ""Source Country"" dstIp as ""Destination IP"" dstIp_Country as ""Destination Country"" id as Issuer
| table Issuer Validity ""Cipher Suite"" ""Source IP"" ""Source Country"" ""Destination IP"" ""Destination Country""","rhel.hwf.sc4s","1677941688.769742",0,"UI:Dashboard:dashboard_security",0,0,0,1677941690,0,search19,0,completed,"0.5690000000000001","1675314000.000000000","1677941688.000000000","1675314000.000000000","1677941688.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search1_1677941716.278","search sourcetype=""forescout:OTSM:logs:alert"" | dedup host","rhel.hwf.sc4s","1677941716.923052",0,"UI:Dashboard:dashboard_security",0,0,0,1677941717,0,search1,0,completed,"0.25",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search2_1677941718.279","search sourcetype=""forescout:OTSM:logs:alert""
| search host=""*""
| stats count by sensorName","rhel.hwf.sc4s","1677941718.222570",0,"UI:Dashboard:dashboard_security",0,0,0,1677941718,0,search2,0,completed,"0.916","1675314000.000000000","1677941718.000000000","1675314000.000000000","1677941718.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search3_1677941718.280","search sourcetype=""forescout:OTSM:logs:alert"" l7Proto !=""""
| search host=""*""
|chart count by l7Proto","rhel.hwf.sc4s","1677941718.223644",0,"UI:Dashboard:dashboard_security",0,0,0,1677941718,0,search3,0,completed,"0.451","1675314000.000000000","1677941718.000000000","1675314000.000000000","1677941718.000000000",,,,,,,,,,,,,,,,,,,
